GEO UID,Census Tract name,Total Education,No certificate,High (secondary) school,Postsecondary Education
5350128.05,128.05,660,0,70,585
5350128.06,128.06,3560,40,385,3135
5350129.00,129.00,3280,45,355,2870
5350130.00,130.00,1720,30,205,1490
5350131.00,131.00,2590,80,285,2225
5350132.00,132.00,2790,65,325,2390
5350133.00,133.00,3895,175,715,3005
5350134.00,134.00,1495,25,110,1365
5350135.00,135.00,4210,80,420,3715
5350136.01,136.01,5560,165,600,4790
5350136.02,136.02,5795,150,645,5000
5350137.00,137.00,3955,75,430,3455
5350138.00,138.00,1495,15,130,1350
5350139.01,139.01,2290,35,215,2035
5350139.02,139.02,1260,35,110,1110
5350140.00,140.00,1150,10,115,1020
5350141.01,141.01,2480,30,200,2255
5350141.02,141.02,2335,10,210,2120
5350142.00,142.00,2900,30,260,2605
5350150.00,150.00,2185,50,235,1905
5350151.00,151.00,2055,250,485,1320
5350152.00,152.00,2540,115,395,2030
5350153.00,153.00,2680,445,775,1460
5350154.00,154.00,3380,470,925,1980
5350155.00,155.00,1745,395,545,810
5350156.01,156.01,3030,795,890,1345
5350156.02,156.02,1560,395,400,770
5350157.00,157.00,1480,300,405,775
5350158.00,158.00,1695,325,445,920
5350159.01,159.01,1925,640,485,800
5350159.02,159.02,2955,630,860,1470
5350160.00,160.00,1855,480,415,960
5350161.00,161.00,4125,855,940,2330
5350162.00,162.00,2705,440,655,1615
5350163.00,163.00,2505,235,525,1750
5350164.00,164.00,3470,275,545,2645
5350165.00,165.00,2585,65,410,2115
5350166.00,166.00,2105,30,265,1805
5350167.01,167.01,1205,20,105,1080
5350167.02,167.02,3500,105,575,2820
5350168.00,168.00,3220,305,705,2215
5350169.01,169.01,2110,230,470,1405
5350169.02,169.02,4730,320,935,3470
5350170.00,170.00,1960,400,465,1095
5350171.00,171.00,1945,440,680,820
5350172.00,172.00,1560,245,495,820
5350173.00,173.00,2110,385,605,1125
5350174.00,174.00,3930,735,1105,2090
5350175.01,175.01,3305,705,965,1635
5350175.02,175.02,5010,900,1570,2535
5350176.00,176.00,2435,245,630,1560
5350180.00,180.00,4010,445,860,2705
5350181.01,181.01,2700,115,455,2125
5350181.02,181.02,2035,195,445,1400
5350182.00,182.00,3260,160,520,2580
5350183.01,183.01,1395,90,210,1100
5350183.02,183.02,2280,110,340,1835
5350184.01,184.01,2785,215,470,2095
5350184.02,184.02,2155,115,475,1565
5350185.01,185.01,4210,345,905,2960
5350185.02,185.02,2475,185,495,1795
5350186.00,186.00,1215,0,155,1055
5350187.00,187.00,1985,115,325,1545
5350188.00,188.00,1000,40,180,780
5350189.00,189.00,2900,310,670,1920
5350190.01,190.01,4925,375,820,3730
5350190.02,190.02,2745,415,725,1605
5350191.00,191.00,2460,200,485,1780
5350192.00,192.00,440,50,110,280
5350193.00,193.00,1685,180,400,1105
5350194.01,194.01,3745,770,1020,1955
5350194.02,194.02,2275,290,585,1395
5350194.03,194.03,1410,130,370,910
5350194.04,194.04,3185,225,495,2465
5350195.01,195.01,2305,75,250,1980
5350195.02,195.02,1220,0,110,1105
5350196.01,196.01,1030,10,85,930
5350196.02,196.02,2890,30,285,2575
5350200.01,200.01,3395,425,690,2285
5350200.02,200.02,680,65,165,455
5350201.00,201.00,3395,210,430,2765
5350202.00,202.00,950,80,110,760
5350203.00,203.00,2250,210,420,1625
5350204.00,204.00,2550,180,575,1800
5350206.01,206.01,3285,200,590,2505
5350206.02,206.02,3845,370,750,2720
5350207.00,207.00,1605,115,435,1055
5350208.00,208.00,2545,325,650,1565
5350209.00,209.00,1610,140,390,1085
5350210.01,210.01,1745,115,345,1285
5350210.03,210.03,5800,90,670,5035
5350210.04,210.04,6775,170,1050,5550
5350211.00,211.00,3935,330,1035,2570
5350212.00,212.00,3225,205,640,2380
5350213.01,213.01,1405,20,245,1145
5350213.02,213.02,4225,140,605,3485
5350214.00,214.00,4550,180,670,3695
5350215.00,215.00,4020,290,650,3080
5350216.00,216.00,2825,35,405,2385
5350217.00,217.00,3710,290,855,2560
5350218.00,218.00,1380,10,110,1265
5350219.00,219.00,2365,100,320,1945
5350220.00,220.00,2210,145,470,1595
5350221.01,221.01,2970,135,515,2325
5350221.02,221.02,3140,345,715,2075
5350222.01,222.01,4100,205,755,3135
5350222.02,222.02,2545,205,515,1825
5350223.01,223.01,765,20,130,615
5350223.02,223.02,1175,20,215,940
5350224.00,224.00,885,50,95,740
5350225.01,225.01,2695,180,485,2030
5350225.02,225.02,7080,345,1140,5595
5350226.00,226.00,1420,0,110,1315
5350227.00,227.00,870,10,60,805
5350228.00,228.00,1410,30,125,1265
5350229.00,229.00,570,0,45,525
5350230.01,230.01,1300,35,190,1070
5350230.02,230.02,3515,315,805,2390
5350231.00,231.00,3175,115,525,2545
5350232.00,232.00,1780,35,230,1520
5350233.00,233.00,3000,110,465,2425
5350234.00,234.00,2365,105,390,1870
5350235.01,235.01,1505,70,305,1135
5350235.02,235.02,2690,220,660,1810
5350236.01,236.01,3745,280,880,2585
5350236.02,236.02,3105,160,560,2380
5350237.01,237.01,3335,485,760,2095
5350237.02,237.02,1660,145,375,1135
5350237.03,237.03,2955,305,750,1900
5350238.01,238.01,1715,55,290,1370
5350238.02,238.02,3040,390,835,1815
5350239.00,239.00,3385,345,805,2240
5350240.01,240.01,1690,65,270,1360
5350240.02,240.02,2865,190,630,2045
5350241.00,241.00,1500,130,370,1000
5350242.00,242.00,775,110,175,485
5350243.01,243.01,3140,800,915,1420
5350243.02,243.02,1970,330,505,1145
5350244.01,244.01,2040,225,600,1215
5350244.02,244.02,3000,555,1000,1440
5350245.00,245.00,3845,635,1150,2060
5350246.00,246.00,1875,190,535,1155
5350247.01,247.01,5185,495,1385,3295
5350247.02,247.02,4025,560,855,2610
5350248.02,248.02,2715,515,825,1375
5350248.03,248.03,1545,235,365,945
5350248.04,248.04,2660,310,625,1720
5350248.05,248.05,2170,325,580,1260
5350249.01,249.01,2335,380,710,1245
5350249.03,249.03,3030,450,935,1640
5350249.04,249.04,1410,195,335,880
5350249.05,249.05,2945,745,635,1560
5350250.01,250.01,2705,465,675,1560
5350250.02,250.02,2595,410,615,1575
5350250.04,250.04,3215,655,915,1650
5350250.05,250.05,3915,1155,1185,1570
5350260.01,260.01,3480,365,830,2285
5350260.04,260.04,2010,375,490,1145
5350260.05,260.05,2050,550,560,935
5350260.06,260.06,2670,210,580,1885
5350260.07,260.07,2015,160,385,1470
5350261.00,261.00,2625,285,580,1760
5350262.01,262.01,3290,340,695,2255
5350262.02,262.02,3365,345,830,2185
5350263.02,263.02,2040,60,315,1665
5350263.03,263.03,2730,140,470,2120
5350263.04,263.04,3245,165,545,2530
5350264.00,264.00,575,0,70,500
5350265.00,265.00,2230,20,195,2015
5350266.00,266.00,1440,25,200,1215
5350267.00,267.00,3015,75,325,2620
5350268.00,268.00,3120,145,495,2470
5350269.01,269.01,3210,240,740,2235
5350269.02,269.02,1380,15,185,1180
5350270.01,270.01,2605,185,530,1890
5350270.02,270.02,2240,160,495,1585
5350271.01,271.01,1305,90,220,995
5350271.02,271.02,2460,300,510,1650
