Name,"Census Tract ID","Households by Income (Current Year) | Median Household Income (Current Year $), 2025"
"CT0362.03, Toronto, ON",5350362.03,116191.42
"CT0362.04, Toronto, ON",5350362.04,96850.64
"CT0363.02, Toronto, ON",5350363.02,105763.75
"CT0363.04, Toronto, ON",5350363.04,118258.1
"CT0363.05, Toronto, ON",5350363.05,64159.06
"CT0363.06, Toronto, ON",5350363.06,80773.02
"CT0363.07, Toronto, ON",5350363.07,44451.53
"CT0364.01, Toronto, ON",5350364.01,83541.3
"CT0364.02, Toronto, ON",5350364.02,93468.03
"CT0365.00, Toronto, ON",5350365.00,89779.32
"CT0366.00, Toronto, ON",5350366.00,70860.56
"CT0367.01, Toronto, ON",5350367.01,77987.72
"CT0367.02, Toronto, ON",5350367.02,97672.98
"CT0368.01, Toronto, ON",5350368.01,67494.84
"CT0368.02, Toronto, ON",5350368.02,68836.85
"CT0369.00, Toronto, ON",5350369.00,84098.52
"CT0370.01, Toronto, ON",5350370.01,69860.05
"CT0370.02, Toronto, ON",5350370.02,90270.09
"CT0370.03, Toronto, ON",5350370.03,94322.78
"CT0371.00, Toronto, ON",5350371.00,87155.03
"CT0372.00, Toronto, ON",5350372.00,100593.7
"CT0373.00, Toronto, ON",5350373.00,79167.06
"CT0374.01, Toronto, ON",5350374.01,98614.12
"CT0374.02, Toronto, ON",5350374.02,99319.4
"CT0374.03, Toronto, ON",5350374.03,62391.45
"CT0375.01, Toronto, ON",5350375.01,52441.74
"CT0375.02, Toronto, ON",5350375.02,183634.81
"CT0375.03, Toronto, ON",5350375.03,75304.69
"CT0375.04, Toronto, ON",5350375.04,98550.05
"CT0375.05, Toronto, ON",5350375.05,88888
"CT0376.01, Toronto, ON",5350376.01,73682.28
"CT0376.02, Toronto, ON",5350376.02,70282.47
"CT0376.04, Toronto, ON",5350376.04,83240.52
"CT0376.05, Toronto, ON",5350376.05,80679.68
"CT0376.06, Toronto, ON",5350376.06,42246.67
"CT0376.08, Toronto, ON",5350376.08,87102.14
"CT0376.09, Toronto, ON",5350376.09,72188.26
"CT0376.11, Toronto, ON",5350376.11,78797.02
"CT0376.12, Toronto, ON",5350376.12,91784.3
"CT0376.13, Toronto, ON",5350376.13,79309.56
"CT0376.14, Toronto, ON",5350376.14,102988.19
"CT0376.15, Toronto, ON",5350376.15,83737.89
"CT0376.16, Toronto, ON",5350376.16,64898.98
"CT0377.02, Toronto, ON",5350377.02,88409.57
"CT0377.03, Toronto, ON",5350377.03,117654.57
"CT0377.04, Toronto, ON",5350377.04,88568.23
"CT0377.06, Toronto, ON",5350377.06,95889.39
"CT0377.07, Toronto, ON",5350377.07,92026.93
"CT0377.08, Toronto, ON",5350377.08,85025.31
"CT0377.09, Toronto, ON",5350377.09,76939.11
"CT0378.02, Toronto, ON",5350378.02,87342.78
"CT0378.03, Toronto, ON",5350378.03,94693.29
"CT0378.04, Toronto, ON",5350378.04,83559.2
"CT0378.05, Toronto, ON",5350378.05,91860.61
"CT0378.06, Toronto, ON",5350378.06,97671.1
"CT0378.07, Toronto, ON",5350378.07,90081.67
"CT0378.08, Toronto, ON",5350378.08,85085.11
"CT0378.11, Toronto, ON",5350378.11,85233.53
"CT0378.12, Toronto, ON",5350378.12,72802.57
"CT0378.14, Toronto, ON",5350378.14,82660.35
"CT0378.16, Toronto, ON",5350378.16,80820.15
"CT0378.17, Toronto, ON",5350378.17,93600.87
"CT0378.18, Toronto, ON",5350378.18,56216.61
"CT0378.19, Toronto, ON",5350378.19,96955.76
"CT0378.20, Toronto, ON",5350378.20,64792
"CT0378.21, Toronto, ON",5350378.21,97877.4
"CT0378.22, Toronto, ON",5350378.22,94830.91
"CT0378.23, Toronto, ON",5350378.23,92003.29
"CT0378.24, Toronto, ON",5350378.24,69564.34
"CT0378.25, Toronto, ON",5350378.25,125113.42
"CT0378.26, Toronto, ON",5350378.26,133320.76
"CT0378.27, Toronto, ON",5350378.27,122988.31
"CT0378.28, Toronto, ON",5350378.28,111041.73
"CT0400.02, Toronto, ON",5350400.02,160270.75
"CT0400.03, Toronto, ON",5350400.03,138166.07
"CT0400.04, Toronto, ON",5350400.04,104452.15
"CT0400.06, Toronto, ON",5350400.06,153179.23
"CT0400.07, Toronto, ON",5350400.07,159558.83
"CT0400.08, Toronto, ON",5350400.08,65705.83
"CT0400.11, Toronto, ON",5350400.11,112565.95
"CT0400.12, Toronto, ON",5350400.12,113520.62
"CT0400.13, Toronto, ON",5350400.13,100116.38
"CT0400.14, Toronto, ON",5350400.14,97697.33
"CT0400.15, Toronto, ON",5350400.15,161037.54
"CT0400.16, Toronto, ON",5350400.16,164790.5
"CT0400.17, Toronto, ON",5350400.17,97790.52
"CT0400.18, Toronto, ON",5350400.18,77630.67
"CT0400.19, Toronto, ON",5350400.19,130659.01
"CT0400.20, Toronto, ON",5350400.20,150295.81
"CT0400.21, Toronto, ON",5350400.21,116183.04
"CT0400.22, Toronto, ON",5350400.22,155783.76
"CT0400.23, Toronto, ON",5350400.23,116081.04
"CT0401.04, Toronto, ON",5350401.04,102538.96
"CT0401.05, Toronto, ON",5350401.05,60932.88
"CT0401.06, Toronto, ON",5350401.06,120421.45
"CT0401.07, Toronto, ON",5350401.07,124524.49
"CT0401.08, Toronto, ON",5350401.08,138929.8
"CT0401.09, Toronto, ON",5350401.09,114869.91
"CT0401.10, Toronto, ON",5350401.10,143168.62
"CT0401.11, Toronto, ON",5350401.11,98780.11
"CT0401.13, Toronto, ON",5350401.13,71937.39
"CT0401.14, Toronto, ON",5350401.14,150677.99
"CT0401.15, Toronto, ON",5350401.15,101557.35
"CT0401.17, Toronto, ON",5350401.17,117309.38
"CT0401.18, Toronto, ON",5350401.18,71864.08
"CT0401.19, Toronto, ON",5350401.19,79841.09
"CT0401.20, Toronto, ON",5350401.20,98713.76
"CT0401.21, Toronto, ON",5350401.21,109532.88
"CT0401.22, Toronto, ON",5350401.22,91506.63
"CT0401.23, Toronto, ON",5350401.23,115829.25
"CT0402.01, Toronto, ON",5350402.01,135397.5
"CT0402.02, Toronto, ON",5350402.02,70284.76
"CT0402.03, Toronto, ON",5350402.03,106896.3
"CT0402.04, Toronto, ON",5350402.04,142322.95
"CT0402.05, Toronto, ON",5350402.05,234686.55
"CT0402.06, Toronto, ON",5350402.06,87022.92
"CT0402.07, Toronto, ON",5350402.07,131107.41
"CT0402.08, Toronto, ON",5350402.08,111682.73
"CT0402.09, Toronto, ON",5350402.09,98404.87
"CT0402.10, Toronto, ON",5350402.10,114525.66
"CT0402.12, Toronto, ON",5350402.12,74436.53
"CT0402.13, Toronto, ON",5350402.13,183108.72
"CT0403.01, Toronto, ON",5350403.01,143339.97
"CT0403.04, Toronto, ON",5350403.04,136587.89
"CT0403.05, Toronto, ON",5350403.05,173342.95
"CT0403.07, Toronto, ON",5350403.07,123312.94
"CT0403.09, Toronto, ON",5350403.09,136832.64
"CT0403.10, Toronto, ON",5350403.10,112995.21
"CT0403.11, Toronto, ON",5350403.11,123943.88
"CT0403.12, Toronto, ON",5350403.12,157355.17
"CT0403.13, Toronto, ON",5350403.13,126638.58
"CT0403.14, Toronto, ON",5350403.14,108988.46
"CT0403.15, Toronto, ON",5350403.15,146997.65
"CT0403.16, Toronto, ON",5350403.16,129389.65
"CT0410.02, Toronto, ON",5350410.02,120802.8
"CT0410.03, Toronto, ON",5350410.03,132510.28
"CT0410.04, Toronto, ON",5350410.04,150974.53
"CT0410.05, Toronto, ON",5350410.05,185040.34
"CT0410.07, Toronto, ON",5350410.07,156215.66
"CT0410.09, Toronto, ON",5350410.09,84083.65
"CT0410.10, Toronto, ON",5350410.10,114630.83
"CT0410.11, Toronto, ON",5350410.11,116523.31
"CT0410.12, Toronto, ON",5350410.12,63826.85
"CT0410.13, Toronto, ON",5350410.13,194765.33
"CT0410.14, Toronto, ON",5350410.14,149603.2
"CT0410.15, Toronto, ON",5350410.15,110853.24
"CT0411.01, Toronto, ON",5350411.01,110430.26
"CT0411.04, Toronto, ON",5350411.04,150000
"CT0411.07, Toronto, ON",5350411.07,160088.75
"CT0411.08, Toronto, ON",5350411.08,83233.78
"CT0411.09, Toronto, ON",5350411.09,149218.34
"CT0411.12, Toronto, ON",5350411.12,160933.47
"CT0411.15, Toronto, ON",5350411.15,111477.87
"CT0411.16, Toronto, ON",5350411.16,156935.69
"CT0411.17, Toronto, ON",5350411.17,187345.84
"CT0411.18, Toronto, ON",5350411.18,174408.66
"CT0411.19, Toronto, ON",5350411.19,167649.23
"CT0411.21, Toronto, ON",5350411.21,138447.98
"CT0411.22, Toronto, ON",5350411.22,135027.13
"CT0411.23, Toronto, ON",5350411.23,76024.11
"CT0411.24, Toronto, ON",5350411.24,122510.88
"CT0411.25, Toronto, ON",5350411.25,129039.14
"CT0411.26, Toronto, ON",5350411.26,168280.3
"CT0411.27, Toronto, ON",5350411.27,174868.36
"CT0411.28, Toronto, ON",5350411.28,175200.24
"CT0411.29, Toronto, ON",5350411.29,159785.4
"CT0411.30, Toronto, ON",5350411.30,164880.27
"CT0412.01, Toronto, ON",5350412.01,107482.34
"CT0412.02, Toronto, ON",5350412.02,95946.12
"CT0412.04, Toronto, ON",5350412.04,126189.75
"CT0412.06, Toronto, ON",5350412.06,107726.82
"CT0412.08, Toronto, ON",5350412.08,103015.34
"CT0412.10, Toronto, ON",5350412.10,130112.84
"CT0412.11, Toronto, ON",5350412.11,148020.08
"CT0412.12, Toronto, ON",5350412.12,123075.97
"CT0412.13, Toronto, ON",5350412.13,107793.37
"CT0412.14, Toronto, ON",5350412.14,222989.15
"CT0412.15, Toronto, ON",5350412.15,174593.37
"CT0412.18, Toronto, ON",5350412.18,211510.16
"CT0412.19, Toronto, ON",5350412.19,165438.51
"CT0412.20, Toronto, ON",5350412.20,153902.07
"CT0412.21, Toronto, ON",5350412.21,179166.67
"CT0412.22, Toronto, ON",5350412.22,162161.11
"CT0412.24, Toronto, ON",5350412.24,144100.42
"CT0412.25, Toronto, ON",5350412.25,157958.4
"CT0412.26, Toronto, ON",5350412.26,166840.58
"CT0413.01, Toronto, ON",5350413.01,196641.99
"CT0413.02, Toronto, ON",5350413.02,158486.04
"CT0420.03, Toronto, ON",5350420.03,83084.01
"CT0420.05, Toronto, ON",5350420.05,82803.02
"CT0420.06, Toronto, ON",5350420.06,150243.14
"CT0420.08, Toronto, ON",5350420.08,70886.86
"CT0420.09, Toronto, ON",5350420.09,68492.74
"CT0420.10, Toronto, ON",5350420.10,168250.16
"CT0420.11, Toronto, ON",5350420.11,173951.82
"CT0420.13, Toronto, ON",5350420.13,82651.89
"CT0420.14, Toronto, ON",5350420.14,78751.67
"CT0420.15, Toronto, ON",5350420.15,143867.05
"CT0421.01, Toronto, ON",5350421.01,121245.43
"CT0421.04, Toronto, ON",5350421.04,80418.06
"CT0421.05, Toronto, ON",5350421.05,122271.18
"CT0421.06, Toronto, ON",5350421.06,76657.27
"CT0421.07, Toronto, ON",5350421.07,139979.76
"CT0422.02, Toronto, ON",5350422.02,69465.43
"CT0422.03, Toronto, ON",5350422.03,154334.72
"CT0422.04, Toronto, ON",5350422.04,148711.16
"CT0422.05, Toronto, ON",5350422.05,130435.7
"CT0422.06, Toronto, ON",5350422.06,58469.78
"CT0423.01, Toronto, ON",5350423.01,117633.22
"CT0423.02, Toronto, ON",5350423.02,123972.73
"CT0424.04, Toronto, ON",5350424.04,150355.9
"CT0424.05, Toronto, ON",5350424.05,99623.74
"CT0424.07, Toronto, ON",5350424.07,137526.88
"CT0424.08, Toronto, ON",5350424.08,165248.39
"CT0424.09, Toronto, ON",5350424.09,141614.19
"CT0424.10, Toronto, ON",5350424.10,161864.64
"CT0424.11, Toronto, ON",5350424.11,135182.28
"CT0424.13, Toronto, ON",5350424.13,140235.25
"CT0424.14, Toronto, ON",5350424.14,151899.76
"CT0424.15, Toronto, ON",5350424.15,135013.3
"CT0424.16, Toronto, ON",5350424.16,159162.53
"CT0430.03, Toronto, ON",5350430.03,142683.82
"CT0430.05, Toronto, ON",5350430.05,143755.42
"CT0430.06, Toronto, ON",5350430.06,161338.38
"CT0430.07, Toronto, ON",5350430.07,125431.57
"CT0430.08, Toronto, ON",5350430.08,128912.17
"CT0431.01, Toronto, ON",5350431.01,136863.02
"CT0431.02, Toronto, ON",5350431.02,161955.1
"CT0440.00, Toronto, ON",5350440.00,156456.67
"CT0441.02, Toronto, ON",5350441.02,99117.09
"CT0441.03, Toronto, ON",5350441.03,144057.57
"CT0441.04, Toronto, ON",5350441.04,181472.95
"CT0442.02, Toronto, ON",5350442.02,97933.74
"CT0442.03, Toronto, ON",5350442.03,190002.31
"CT0442.04, Toronto, ON",5350442.04,124437.68
"CT0442.05, Toronto, ON",5350442.05,130401.82
"CT0442.06, Toronto, ON",5350442.06,141021.42
"CT0450.02, Toronto, ON",5350450.02,83341.86
"CT0450.03, Toronto, ON",5350450.03,118793.07
"CT0450.05, Toronto, ON",5350450.05,135305.08
"CT0450.06, Toronto, ON",5350450.06,182222.75
"CT0451.01, Toronto, ON",5350451.01,83412.28
"CT0451.02, Toronto, ON",5350451.02,79392.54
"CT0451.03, Toronto, ON",5350451.03,113539.66
"CT0451.05, Toronto, ON",5350451.05,141130.14
"CT0451.06, Toronto, ON",5350451.06,141324.72
"CT0451.07, Toronto, ON",5350451.07,151798.09
"CT0452.01, Toronto, ON",5350452.01,100466.2
"CT0452.02, Toronto, ON",5350452.02,86596.57
"CT0452.03, Toronto, ON",5350452.03,102073.51
"CT0452.05, Toronto, ON",5350452.05,150132.09
"CT0452.06, Toronto, ON",5350452.06,138149.48
"CT0452.07, Toronto, ON",5350452.07,141562.96
"CT0455.00, Toronto, ON",5350455.00,129803.72
"CT0456.01, Toronto, ON",5350456.01,168558.19
"CT0456.02, Toronto, ON",5350456.02,129953.29
"CT0456.03, Toronto, ON",5350456.03,136147.84
"CT0460.01, Toronto, ON",5350460.01,182376.35
"CT0460.02, Toronto, ON",5350460.02,144735.01
"CT0461.01, Toronto, ON",5350461.01,197345.39
"CT0461.02, Toronto, ON",5350461.02,143142.5
"CT0470.00, Toronto, ON",5350470.00,115884.04
"CT0471.00, Toronto, ON",5350471.00,102042.65
"CT0472.00, Toronto, ON",5350472.00,114211.96
"CT0473.01, Toronto, ON",5350473.01,124548.55
"CT0473.02, Toronto, ON",5350473.02,103249.41
"CT0473.03, Toronto, ON",5350473.03,101877.81
"CT0474.00, Toronto, ON",5350474.00,109146.53
"CT0475.00, Toronto, ON",5350475.00,96204.33
"CT0476.01, Toronto, ON",5350476.01,48759.98
"CT0476.02, Toronto, ON",5350476.02,101737.15
"CT0480.01, Toronto, ON",5350480.01,87532.56
"CT0480.03, Toronto, ON",5350480.03,129648.09
"CT0480.04, Toronto, ON",5350480.04,73015.65
"CT0480.05, Toronto, ON",5350480.05,167694.59
"CT0480.06, Toronto, ON",5350480.06,182255.06
"CT0481.02, Toronto, ON",5350481.02,92979.53
"CT0481.03, Toronto, ON",5350481.03,0
"CT0481.04, Toronto, ON",5350481.04,143193.85
"CT0481.05, Toronto, ON",5350481.05,144444.98
"CT0482.00, Toronto, ON",5350482.00,132455.14
"CT0483.01, Toronto, ON",5350483.01,123651.94
"CT0483.02, Toronto, ON",5350483.02,139458.45
"CT0484.02, Toronto, ON",5350484.02,134402.65
"CT0484.03, Toronto, ON",5350484.03,116166.09
"CT0484.04, Toronto, ON",5350484.04,141011.98
"CT0485.02, Toronto, ON",5350485.02,101110.02
"CT0485.03, Toronto, ON",5350485.03,82131.55
"CT0485.04, Toronto, ON",5350485.04,102747.39
"CT0485.05, Toronto, ON",5350485.05,147197.97
"CT0500.01, Toronto, ON",5350500.01,69620.51
"CT0500.02, Toronto, ON",5350500.02,78392.06
"CT0501.01, Toronto, ON",5350501.01,108444.74
"CT0501.02, Toronto, ON",5350501.02,150615.79
"CT0502.01, Toronto, ON",5350502.01,106540.73
"CT0502.02, Toronto, ON",5350502.02,101151.35
"CT0503.00, Toronto, ON",5350503.00,92795.35
"CT0504.00, Toronto, ON",5350504.00,138096.21
"CT0505.01, Toronto, ON",5350505.01,246194.94
"CT0505.02, Toronto, ON",5350505.02,277427.24
"CT0506.00, Toronto, ON",5350506.00,300000
"CT0507.00, Toronto, ON",5350507.00,161895.04
"CT0508.00, Toronto, ON",5350508.00,129409.07
"CT0509.01, Toronto, ON",5350509.01,116989.86
"CT0509.02, Toronto, ON",5350509.02,133698.84
"CT0510.00, Toronto, ON",5350510.00,137465.02
"CT0511.01, Toronto, ON",5350511.01,68398.75
"CT0511.02, Toronto, ON",5350511.02,84779.43
"CT0512.00, Toronto, ON",5350512.00,77657.87
"CT0513.01, Toronto, ON",5350513.01,124599.42
"CT0513.02, Toronto, ON",5350513.02,66650.93
"CT0513.03, Toronto, ON",5350513.03,81256.7
"CT0513.04, Toronto, ON",5350513.04,118509.41
"CT0514.01, Toronto, ON",5350514.01,252850.59
"CT0514.02, Toronto, ON",5350514.02,85729.29
"CT0515.01, Toronto, ON",5350515.01,124180.51
"CT0515.02, Toronto, ON",5350515.02,109883.12
"CT0516.01, Toronto, ON",5350516.01,128690.88
"CT0516.02, Toronto, ON",5350516.02,127250.52
"CT0516.03, Toronto, ON",5350516.03,96966.96
"CT0516.04, Toronto, ON",5350516.04,82768.15
"CT0516.05, Toronto, ON",5350516.05,103678.62
"CT0516.06, Toronto, ON",5350516.06,112948.8
"CT0516.08, Toronto, ON",5350516.08,81294.75
"CT0516.09, Toronto, ON",5350516.09,99819.5
"CT0516.11, Toronto, ON",5350516.11,159340.02
"CT0516.16, Toronto, ON",5350516.16,128087.03
"CT0516.17, Toronto, ON",5350516.17,99411.7
"CT0516.18, Toronto, ON",5350516.18,128626.6
"CT0516.20, Toronto, ON",5350516.20,146758.41
"CT0516.21, Toronto, ON",5350516.21,161843.3
"CT0516.22, Toronto, ON",5350516.22,166713.51
"CT0516.23, Toronto, ON",5350516.23,145682.79
"CT0516.24, Toronto, ON",5350516.24,157892.28
"CT0516.25, Toronto, ON",5350516.25,112175.66
"CT0516.26, Toronto, ON",5350516.26,114986.05
"CT0516.28, Toronto, ON",5350516.28,138482.05
"CT0516.29, Toronto, ON",5350516.29,112543.79
"CT0516.30, Toronto, ON",5350516.30,170240.68
"CT0516.31, Toronto, ON",5350516.31,136383.12
"CT0516.32, Toronto, ON",5350516.32,145986.79
"CT0516.37, Toronto, ON",5350516.37,87418.57
"CT0516.38, Toronto, ON",5350516.38,116960.3
"CT0516.39, Toronto, ON",5350516.39,138798.41
"CT0516.40, Toronto, ON",5350516.40,156994.95
"CT0516.41, Toronto, ON",5350516.41,117185.01
"CT0516.43, Toronto, ON",5350516.43,78578.42
"CT0516.44, Toronto, ON",5350516.44,143696.92
"CT0516.47, Toronto, ON",5350516.47,162839.9
"CT0516.48, Toronto, ON",5350516.48,128002.43
"CT0516.50, Toronto, ON",5350516.50,128280.47
"CT0516.51, Toronto, ON",5350516.51,144070.59
"CT0516.52, Toronto, ON",5350516.52,137876.87
"CT0516.53, Toronto, ON",5350516.53,241678.49
"CT0516.54, Toronto, ON",5350516.54,96993.17
"CT0516.55, Toronto, ON",5350516.55,141786.84
"CT0517.00, Toronto, ON",5350517.00,114307.5
"CT0518.00, Toronto, ON",5350518.00,68553.24
"CT0519.00, Toronto, ON",5350519.00,99571.02
"CT0520.01, Toronto, ON",5350520.01,90660.26
"CT0520.02, Toronto, ON",5350520.02,79945.68
"CT0520.05, Toronto, ON",5350520.05,85782.32
"CT0520.07, Toronto, ON",5350520.07,80981.34
"CT0520.08, Toronto, ON",5350520.08,83020.27
"CT0520.09, Toronto, ON",5350520.09,86017.23
"CT0520.11, Toronto, ON",5350520.11,90353.74
"CT0520.12, Toronto, ON",5350520.12,75832.98
"CT0521.01, Toronto, ON",5350521.01,83102.52
"CT0521.02, Toronto, ON",5350521.02,108956.68
"CT0521.03, Toronto, ON",5350521.03,98409.28
"CT0521.04, Toronto, ON",5350521.04,93665.2
"CT0521.05, Toronto, ON",5350521.05,76536.76
"CT0521.06, Toronto, ON",5350521.06,62436.63
"CT0522.00, Toronto, ON",5350522.00,87768.63
"CT0523.00, Toronto, ON",5350523.00,73667.17
"CT0524.01, Toronto, ON",5350524.01,97480.57
"CT0524.02, Toronto, ON",5350524.02,74952.33
"CT0525.01, Toronto, ON",5350525.01,79646.13
"CT0525.02, Toronto, ON",5350525.02,64516.47
"CT0526.01, Toronto, ON",5350526.01,78365.5
"CT0526.02, Toronto, ON",5350526.02,75489.61
"CT0527.02, Toronto, ON",5350527.02,95710.46
"CT0527.04, Toronto, ON",5350527.04,126514.93
"CT0527.05, Toronto, ON",5350527.05,99460.61
"CT0527.06, Toronto, ON",5350527.06,103050.21
"CT0527.07, Toronto, ON",5350527.07,97051.18
"CT0527.08, Toronto, ON",5350527.08,106653.86
"CT0527.09, Toronto, ON",5350527.09,113524.41
"CT0527.10, Toronto, ON",5350527.10,71677.81
"CT0527.11, Toronto, ON",5350527.11,78338.57
"CT0527.12, Toronto, ON",5350527.12,94296.16
"CT0527.13, Toronto, ON",5350527.13,84601.66
"CT0528.01, Toronto, ON",5350528.01,111239.17
"CT0528.11, Toronto, ON",5350528.11,81093.52
"CT0528.12, Toronto, ON",5350528.12,134504.72
"CT0528.13, Toronto, ON",5350528.13,157992.58
"CT0528.15, Toronto, ON",5350528.15,130556.52
"CT0528.16, Toronto, ON",5350528.16,119919.98
"CT0528.18, Toronto, ON",5350528.18,123757.27
"CT0528.19, Toronto, ON",5350528.19,111366.04
"CT0528.20, Toronto, ON",5350528.20,99959.6
"CT0528.21, Toronto, ON",5350528.21,72316.84
"CT0528.22, Toronto, ON",5350528.22,90875.8
"CT0528.24, Toronto, ON",5350528.24,115524.03
"CT0528.26, Toronto, ON",5350528.26,81314.31
"CT0528.31, Toronto, ON",5350528.31,73414.23
"CT0528.32, Toronto, ON",5350528.32,142764.34
"CT0528.33, Toronto, ON",5350528.33,142503.93
"CT0528.34, Toronto, ON",5350528.34,121063.56
"CT0528.35, Toronto, ON",5350528.35,120178.74
"CT0528.39, Toronto, ON",5350528.39,172446.7
"CT0528.40, Toronto, ON",5350528.40,155070.42
"CT0528.42, Toronto, ON",5350528.42,126944.23
"CT0528.43, Toronto, ON",5350528.43,121693.38
"CT0528.44, Toronto, ON",5350528.44,129763.24
"CT0528.45, Toronto, ON",5350528.45,90638.68
"CT0528.46, Toronto, ON",5350528.46,127305.58
"CT0528.47, Toronto, ON",5350528.47,116641.55
"CT0528.49, Toronto, ON",5350528.49,171686.99
"CT0528.50, Toronto, ON",5350528.50,93414.4
"CT0528.51, Toronto, ON",5350528.51,82175.34
"CT0528.52, Toronto, ON",5350528.52,110013.96
"CT0528.53, Toronto, ON",5350528.53,221560.33
"CT0528.54, Toronto, ON",5350528.54,140116.57
"CT0528.55, Toronto, ON",5350528.55,130493.72
"CT0528.56, Toronto, ON",5350528.56,109630.63
"CT0528.57, Toronto, ON",5350528.57,116412.64
"CT0528.58, Toronto, ON",5350528.58,115111.41
"CT0528.59, Toronto, ON",5350528.59,112976.59
"CT0528.60, Toronto, ON",5350528.60,107497.79
"CT0528.61, Toronto, ON",5350528.61,91305.09
"CT0528.62, Toronto, ON",5350528.62,60727.31
"CT0528.63, Toronto, ON",5350528.63,154558.94
"CT0529.01, Toronto, ON",5350529.01,76008.14
"CT0529.02, Toronto, ON",5350529.02,66731
"CT0530.01, Toronto, ON",5350530.01,69062.48
"CT0530.02, Toronto, ON",5350530.02,69673.94
"CT0531.01, Toronto, ON",5350531.01,73773.03
"CT0531.02, Toronto, ON",5350531.02,79524.17
"CT0532.01, Toronto, ON",5350532.01,73047.07
"CT0532.02, Toronto, ON",5350532.02,78148.96
"CT0540.01, Toronto, ON",5350540.01,77032.47
"CT0540.02, Toronto, ON",5350540.02,92312.85
"CT0550.01, Toronto, ON",5350550.01,114970.88
"CT0550.02, Toronto, ON",5350550.02,98380.13
"CT0560.00, Toronto, ON",5350560.00,78078.69
"CT0561.00, Toronto, ON",5350561.00,78799.02
"CT0562.02, Toronto, ON",5350562.02,102507.44
"CT0562.03, Toronto, ON",5350562.03,95002.76
"CT0562.04, Toronto, ON",5350562.04,91042.1
"CT0562.05, Toronto, ON",5350562.05,83280.29
"CT0562.06, Toronto, ON",5350562.06,102892.2
"CT0562.07, Toronto, ON",5350562.07,97639
"CT0562.08, Toronto, ON",5350562.08,91297.81
"CT0562.09, Toronto, ON",5350562.09,95044.47
"CT0562.11, Toronto, ON",5350562.11,97620
"CT0562.12, Toronto, ON",5350562.12,67574.95
"CT0562.13, Toronto, ON",5350562.13,104640.33
"CT0562.14, Toronto, ON",5350562.14,109909.6
"CT0562.15, Toronto, ON",5350562.15,101410.38
"CT0563.01, Toronto, ON",5350563.01,59815.28
"CT0563.02, Toronto, ON",5350563.02,91852.48
"CT0564.01, Toronto, ON",5350564.01,94959.09
"CT0564.02, Toronto, ON",5350564.02,80802.33
"CT0570.01, Toronto, ON",5350570.01,59347.32
"CT0570.02, Toronto, ON",5350570.02,127127.51
"CT0571.01, Toronto, ON",5350571.01,67740.26
"CT0571.02, Toronto, ON",5350571.02,91833.63
"CT0572.01, Toronto, ON",5350572.01,83303.45
"CT0572.04, Toronto, ON",5350572.04,85603.65
"CT0572.05, Toronto, ON",5350572.05,73496.42
"CT0572.07, Toronto, ON",5350572.07,94940.53
"CT0572.08, Toronto, ON",5350572.08,88808.44
"CT0572.09, Toronto, ON",5350572.09,108680.87
"CT0572.10, Toronto, ON",5350572.10,98813
"CT0573.03, Toronto, ON",5350573.03,88102.98
"CT0573.05, Toronto, ON",5350573.05,89970.4
"CT0573.06, Toronto, ON",5350573.06,106983
"CT0573.07, Toronto, ON",5350573.07,73144.92
"CT0573.09, Toronto, ON",5350573.09,92162.08
"CT0573.10, Toronto, ON",5350573.10,117376.55
"CT0573.11, Toronto, ON",5350573.11,107249.17
"CT0574.00, Toronto, ON",5350574.00,68831.48
"CT0575.01, Toronto, ON",5350575.01,78408.27
"CT0575.02, Toronto, ON",5350575.02,59641.45
"CT0575.03, Toronto, ON",5350575.03,82812.21
"CT0575.04, Toronto, ON",5350575.04,88206.45
"CT0575.05, Toronto, ON",5350575.05,100524.53
"CT0575.07, Toronto, ON",5350575.07,121894.97
"CT0575.08, Toronto, ON",5350575.08,91488.32
"CT0576.04, Toronto, ON",5350576.04,133773.87
"CT0576.05, Toronto, ON",5350576.05,103089.03
"CT0576.06, Toronto, ON",5350576.06,112112
"CT0576.07, Toronto, ON",5350576.07,94558.25
"CT0576.09, Toronto, ON",5350576.09,115622.71
"CT0576.16, Toronto, ON",5350576.16,104322.42
"CT0576.17, Toronto, ON",5350576.17,102891.56
"CT0576.20, Toronto, ON",5350576.20,96531.2
"CT0576.22, Toronto, ON",5350576.22,108336.89
"CT0576.29, Toronto, ON",5350576.29,106917.66
"CT0576.31, Toronto, ON",5350576.31,136310.85
"CT0576.33, Toronto, ON",5350576.33,109039.58
"CT0576.34, Toronto, ON",5350576.34,108581.83
"CT0576.43, Toronto, ON",5350576.43,112388.84
"CT0576.44, Toronto, ON",5350576.44,120938.67
"CT0576.45, Toronto, ON",5350576.45,110570.4
"CT0576.46, Toronto, ON",5350576.46,106400.79
"CT0576.47, Toronto, ON",5350576.47,162740.64
"CT0576.49, Toronto, ON",5350576.49,111675.23
"CT0576.50, Toronto, ON",5350576.50,110221.36
"CT0576.52, Toronto, ON",5350576.52,113315
"CT0576.53, Toronto, ON",5350576.53,111655.53
"CT0576.54, Toronto, ON",5350576.54,109210.54
"CT0576.55, Toronto, ON",5350576.55,115867.74
"CT0576.57, Toronto, ON",5350576.57,94810.44
"CT0576.59, Toronto, ON",5350576.59,108051.34
"CT0576.62, Toronto, ON",5350576.62,116030.15
